tns_name,previous_name,repeater_name,snr_fitb,dm_fitb,dm_fitb_err,flux,flux_err,flux_notes,fluence,fluence_err,fluence_notes
FRB20181119C,-9999,-9999,40.7,284.959,0.002,3,1,-9999,3,2,-9999
FRB20181120B,-9999,FRB20180916B,22.1,349.74,0.05,1,0.4,-9999,2.7,0.8,-9999
FRB20181120C,-9999,FRB20180814A,15.1,191.7,0.3,0.4,0.2,-9999,4,1,-9999
FRB20181122A,-9999,-9999,14.9,662.82,0.02,0.5,0.3,-9999,1.4,0.6,-9999
FRB20181122B,-9999,-9999,122.9,225.7555,0.0007,15,7,-9999,20,10,-9999
FRB20181123A,-9999,-9999,19.7,798.72,0.02,1,0.5,-9999,3,1,-9999
FRB20181124B,-9999,-9999,33.8,801.645,0.004,2.6,0.9,-9999,5,2,-9999
FRB20181124A,-9999,-9999,10.3,1108.53,0.01,0.7,0.4,-9999,3,1,-9999
FRB20181125A,-9999,-9999,34.5,272.19,0.02,0.4,0.3,-9999,3,2,-9999
FRB20181125A,-9999,-9999,34.5,272.19,0.02,0.4,0.3,-9999,3,2,-9999
FRB20181125A,-9999,-9999,34.5,272.19,0.02,0.4,0.3,-9999,3,2,-9999
FRB20181126A,-9999,-9999,111,494.217,0.003,3,2,-9999,9,5,-9999
FRB20181127A,-9999,-9999,27.6,930.32,0.01,0.8,0.5,-9999,3,1,-9999
FRB20181128A,181128.J0456+63,FRB20181128A,35.7,450.382,0.009,0.6,0.4,-9999,8,4,-9999
FRB20181128A,181128.J0456+63,FRB20181128A,35.7,450.382,0.009,0.6,0.4,-9999,8,4,-9999
FRB20181128B,-9999,-9999,17.2,456.55,0.03,0.3,0.2,-9999,1.9,0.9,-9999
FRB20181128D,-9999,-9999,55.3,146.501,0.004,3,1,-9999,7,3,-9999
FRB20181128C,-9999,-9999,22.2,618.35,0.002,0.4,0.3,-9999,3,1,-9999
FRB20181128C,-9999,-9999,22.2,618.35,0.002,0.4,0.3,-9999,3,1,-9999
FRB20181129A,-9999,-9999,34.7,385.968,0.002,1.5,0.8,-9999,3,1,-9999
FRB20181129B,-9999,-9999,25.7,405.905,0.005,4,3,-9999,9,6,-9999
FRB20181129C,-9999,-9999,23.1,502.22,0.01,0.8,0.3,-9999,4,1,-9999
