"frb_name","utc","telescope","rop_receiver","rop_backend","rop_beam","rop_beam_semi_major_axis","rop_beam_semi_minor_axis","rop_beam_rotation_angle","rop_raj","rop_decj","rop_gl","rop_gb","rop_sampling_time","rop_bandwidth","rop_centre_frequency","rop_npol","rop_bits_per_sample","rop_gain","rop_tsys","rop_mw_dm_limit","rop_galactic_electron_model","rmp_dm","rmp_width","rmp_snr","rmp_flux","rmp_dm_index","rmp_scattering_index","rmp_scattering","rmp_scattering_model","rmp_scattering_timescale","rmp_linear_poln_frac","rmp_circular_poln_frac","rmp_spectral_index","rmp_rm","rmp_redshift_host","rmp_dispersion_smearing"
"FRB180729.J0558+56","2018/07/29 17:28:18.258","CHIME/FRB","CHIME/FRB","","null","17.2","9.6","0","05:58","+56:30","156","15","0.983","400","600","2","null","null","null","95","NE2001","317.37&plusmn0.01","0.08","25.2","null","null","null","null","null","null","null","null","null","null","null","null"
"FRB180727.J1311+26","2018/07/27 00:52:04.474","CHIME/FRB","CHIME/FRB","","null","10.6","10.5","0","13:11","+26:26","25","85","0.983","400","600","2","null","null","null","21","NE2001","642.07&plusmn0.03","0.78","14.2","null","null","null","0.6&plusmn0.2","one-sided exponential at 600 MHz","null","null","null","null","null","null","null"
"FRB180725.J0613+67","2018/07/25 17:59:32.813","CHIME/FRB","CHIME/FRB","","null","24.3","10.2","0","06:13","+67:04","147","21","0.983","400","600","2","null","null","null","71","NE2001","715.98&plusmn0.02","0.31","34.5","null","null","null","1.18&plusmn0.13","one-sided exponential at 600 MHz","null","null","null","null","null","null","null"
"FRB180714","2018/07/14 10:00:08.700","parkes","MB20","BPSR","7","7.5","7.5","0","17:46:12","-11:45:47","14.8","8.72","0.064","338.381","1352","2","2","0.69","28","257","NE2001","1467.92&plusmn0.3","2.9","22","0.6","null","null","null","null","null","0.91&plusmn0.03","0.05&plusmn0.02","null","-25.9&plusmn5.9","null","null"
"FRB180528","2018/05/28 04:24:00.900","UTMOST","","","null","240","5.01","90","06:38:49.80","-49:53:59","258.8","-22.35","0.327","31.25","835","1","8","1.7","330","69","NE2001","899.3&plusmn0.6","2","11","15.75","null","null","1&plusmn0.4","Gaussian convolved with a one-sided exponential at 835 MHz","null","null","null","null","null","null","null"
"FRB180525","2018/05/25 15:19:06.515","ASKAP","","","null","30","6","0","14:40","-02:12","349","50.7","1.26","336","1297","2","2","0.05","100","31","NE2001","388.1&plusmn0.3","3.8","27.4","78.9","null","null","null","null","null","null","null","null","null","null","null"
"FRB180515","2018/05/15 21:57:26.485","ASKAP","","","null","7","7","0","23:13:12","-42:14:46","349.5","-64.9","1.265","336","1320","2","2","0.05","100","33","NE2001","355.2&plusmn0.5","1.9","12.1","24.2","null","null","0.38&plusmn0.12","null","null","null","null","null","null","null","null"
"FRB180430","2018/04/30 09:59:58.700","ASKAP","","","null","6","6","0","06:51","-09:57","221.76","-4.61","1.26","336","1297","2","2","0.05","100","165.44","NE2001","264.1&plusmn0.5","1.2","28.2","147.5","null","null","null","null","null","null","null","null","null","null","null"
"FRB180417","2018/04/17 13:18:31.000","ASKAP","null","null","null","7","7","0","12:24:56","+14:13","276","75.6","1.7","336","1272.5","2","null","null","null","26.15","NE2001","474.8","2.52","24.2","21.8","null","null","null","null","null","null","null","null","null","null","null"
"FRB180324","2018/03/24 09:31:46.706","ASKAP","","","null","45","10","0","06:16","-34:47","241.9","-21.9","1.26","336","1297","2","2","0.05","100","70","NE2001","431&plusmn0.4","4.3","9.8","16.5","null","null","null","null","null","null","null","null","null","null","null"
"FRB180321","2018/03/21 07:05:54.000","Pushchino","null","null","null","null","null","null","00:33:00","+42:01:48","119.273","-20.711","100","2.5","111","null","null","null","null","70","NE2001","594&plusmn5","1670","8.2","0.54","null","null","null","null","null","null","null","null","null","null","null"
"FRB180315","2018/03/15 05:05:30.985","ASKAP","","","null","45","10","0","19:35","-26:50","12.6","-20.8","1.26","336","1297","2","2","0.05","100","36","NE2001","479&plusmn0.4","2.4","10.4","23.3","null","null","null","null","null","null","null","null","null","null","null"
"FRB180311","2018/03/11 04:11:54.800","parkes","MB20","BPSR","4","7.5","7.5","0","21:31:33.42","-57:44:26.7","337.3","-43.7","0.064","338.381","1352","2","2","0.69","28","45.2","NE2001","1570.9&plusmn0.5","13.4","11.5","0.15","null","null","null","null","null","0.75&plusmn0.03","0.11&plusmn0.02","null","4.8&plusmn7.3","null","null"
"FRB180309","2018/03/09 02:49:32.990","parkes","MB20","BPSR","1","7.5","7.5","0","21:24:43.8","-33:58:44.5","10.9","-45.4","0.064","338.381","1352","2","2","0.735","28","44.69","NE2001","263.42&plusmn0.01","0.475","411","27.6","null","null","null","null","null","0.4556&plusmn0.0006","0.2433&plusmn0.0005","null","null","null","null"
"FRB180212","2018/02/12 23:45:04.399","ASKAP","","","null","30","30","0","14:21","-03:35","341.5","52.4","1.26","336","1297","2","2","0.029","58","33","NE2001","167.5&plusmn0.5","1.81","18.3","53","null","null","null","null","null","null","null","null","null","null","null"
"FRB180131","2018/01/31 05:45:04.320","ASKAP","","","null","12","8","0","21:49.9","-40:41","0.93","-50.5","1.26","336","1297","2","2","0.029","58","40","NE2001","657.7&plusmn0.5","4.5","13.8","22.2","null","null","null","null","null","null","null","null","null","null","null"
"FRB180130","2018/01/30 04:55:29.993","ASKAP","","","null","14","10","0","21:52.2","-38:34","4.21","-51.1","1.26","336","1297","2","2","0.029","58","39","NE2001","343.5&plusmn0.4","4.1","10.2","23.1","null","null","null","null","null","null","null","null","null","null","null"
"FRB180128.2","2018/01/28 04:53:26.796","ASKAP","","","null","15","11","0","22:22","-60:15","329.9","-48.3","1.26","336","1297","2","2","0.029","58","40","NE2001","495.9&plusmn0.7","2.3","9.6","28.7","null","null","null","null","null","null","null","null","null","null","null"
"FRB180128.0","2018/01/28 00:59:38.617","ASKAP","","","null","20","15","0","13:56","-06:43","330.1","52.7","1.26","336","1297","2","2","0.029","58","32","NE2001","441.4&plusmn0.2","2.9","12.4","17.5","null","null","null","null","null","null","null","null","null","null","null"
"FRB180119","2018/01/19 12:24:30.747","ASKAP","","","null","8","8","0","03:29.3","-12:44","199.5","-50.4","1.26","336","1297","2","2","0.029","58","36","NE2001","402.7&plusmn0.7","2.7","15.9","40.7","null","null","null","null","null","null","null","null","null","null","null"
"FRB180110","2018/01/10 07:34:34.959","ASKAP","","","null","10.5","7","0","21:53.0","-35:27","9.18","-51.3","1.26","336","1297","2","2","0.029","58","38","NE2001","715.7&plusmn0.2","3.2","35.6","128.1","null","null","null","null","null","null","null","null","null","null","null"
"FRB171216","2017/12/16 17:59:10.822","ASKAP","","","null","15","10","0","03:28","-57:04","271.2","-49.3","1.26","336","1297","2","2","0.029","58","37","NE2001","203.1&plusmn0.5","1.9","8","21","null","null","null","null","null","null","null","null","null","null","null"
"FRB171213","2017/12/13 14:22:40.467","ASKAP","","","null","30","20","0","03:39","-10:56","198.8","-47.5","1.26","336","1297","2","2","0.029","58","36","NE2001","158.6&plusmn0.2","1.5","25.1","88.6","null","null","null","null","null","null","null","null","null","null","null"
"FRB171209","2017/12/09 20:34:23.500","parkes","MB20","BPSR","13","7.5","7.5","0","15:50:25","-46:10:20","332.2","6.24","0.064","338.381","1352","2","2","0.581","28","13","NE2001","1457.4&plusmn0.03","2.5","40","1.48","null","null","0.66","One sided exponential","null","1&plusmn0.01","0&plusmn0.01","null","121.6&plusmn4.2","null","null"
"FRB171116","2017/11/16 14:59:33.305","ASKAP","","","null","10","10","0","03:31.0","-17:14","206.3","-51.9","1.26","336","1297","2","2","0.029","58","36","NE2001","618.5&plusmn0.5","3.2","11.8","19.6","null","null","null","null","null","null","null","null","null","null","null"
"FRB171020","2017/10/20 10:27:58.598","ASKAP","","","null","45","40","0","22:15","-19:40","36.2","-53.5","1.26","336","1297","2","2","0.029","58","38","NE2001","114.1&plusmn0.2","3.2","19.5","117.6","null","null","null","null","null","null","null","null","null","null","null"
"FRB171019","2017/10/19 13:26:40.097","ASKAP","","","null","7.5","7","0","22:17.5","-08:40","52.5","-49.3","1.26","336","1297","2","2","0.029","58","37","NE2001","460.8&plusmn1.1","5.4","23.4","40.5","null","null","null","null","null","null","null","null","null","null","null"
"FRB171004","2017/10/04 03:23:39.250","ASKAP","","","null","12","10","0","11:57.6","-11:54","282.2","48.9","1.26","336","1297","2","2","0.029","58","38","NE2001","304&plusmn0.3","2","10.9","22","null","null","null","null","null","null","null","null","null","null","null"
"FRB171003","2017/10/03 04:07:23.781","ASKAP","","","null","20","10","0","12:29.5","-14:07","294.9","48.4","1.26","336","1297","2","2","0.029","58","40","NE2001","463.2&plusmn1.2","2","13.8","40.5","null","null","null","null","null","null","null","null","null","null","null"
"FRB170922","2017/09/22 11:23:33.400","UTMOST","UTMOST","","null","240","0.154","90","21:29:50.61","-07:59:40.49","45.1","-38.7","0.327","31.25","835","1","8","1.7","330","45","NE2001","1111&plusmn1","34.1","20","5.19","null","null","29.1&plusmn2.8","Gaussian convolved with a one-sided exponential at 835 MHz","null","null","null","null","null","null","null"
