,R,E,V
99,0.9875,0.50625,0.08332031250000001
100,0.9875,0.50625,0.08332031250000001
101,0.9875,0.50625,0.08332031250000001
102,0.6219512195121951,0.5060975609756098,0.08332093991671624
103,0.6219512195121951,0.5060975609756098,0.08332093991671624
104,0.4457831325301205,0.5060240963855421,0.0833212367542459
105,0.27380952380952384,0.5059523809523809,0.08332152305366591
106,0.7441860465116279,0.5058139534883721,0.08332206598161168
107,0.7441860465116279,0.5058139534883721,0.08332206598161168
108,0.27586206896551724,0.5057471264367817,0.08332232351257322
109,0.7640449438202247,0.5056179775280899,0.08332281277616463
110,0.7640449438202247,0.5056179775280899,0.08332281277616463
111,0.2777777777777778,0.5055555555555555,0.08332304526748971
112,0.2857142857142857,0.5054945054945055,0.08332327013645695
113,0.21739130434782608,0.5054347826086957,0.08332348771266541
114,0.6774193548387096,0.5053763440860215,0.08332369830808957
115,0.3548387096774194,0.5053763440860215,0.08332369830808957
116,0.3404255319148936,0.5053191489361702,0.08332390221819828
117,0.2765957446808511,0.5053191489361702,0.08332390221819828
118,0.28421052631578947,0.5052631578947369,0.08332409972299169
119,0.13541666666666666,0.5052083333333334,0.08332429108796297
120,0.29896907216494845,0.5051546391752577,0.08332447656499097
121,0.4897959183673469,0.5051020408163265,0.08332465639316951
122,0.40404040404040403,0.5050505050505051,0.08332483079957827
123,0.77,0.505,0.083325
124,0.8415841584158416,0.504950495049505,0.08332516419958828
125,0.5588235294117647,0.5049019607843137,0.08332532359348968
126,0.5686274509803921,0.5049019607843137,0.08332532359348968
127,0.1262135922330097,0.5048543689320388,0.08332547836742389
128,0.2980769230769231,0.5048076923076923,0.08332562869822485
129,0.14285714285714285,0.5047619047619047,0.08332577475434617
130,0.1509433962264151,0.5047169811320755,0.08332591669633321
131,0.4672897196261682,0.5046728971962616,0.0833260546772644
132,0.8055555555555556,0.5046296296296297,0.08332618884316416
133,0.41284403669724773,0.5045871559633027,0.08332631933338945
134,0.5545454545454546,0.5045454545454545,0.08332644628099174
135,0.7207207207207207,0.5045045045045045,0.08332656981305629
136,0.7767857142857143,0.5044642857142857,0.0833266900510204
137,0.5982142857142857,0.5044642857142857,0.0833266900510204
138,0.08108108108108109,0.5045045045045045,0.08332656981305629
139,0.6964285714285714,0.5044642857142857,0.0833266900510204
140,0.14285714285714285,0.5044642857142857,0.0833266900510204
141,0.1504424778761062,0.504424778761062,0.08332680711097189
142,0.07017543859649122,0.5043859649122807,0.0833269211039294
143,0.9478260869565217,0.5043478260869565,0.08332703213610586
144,0.7931034482758621,0.5043103448275862,0.08332714030915576
145,0.3162393162393162,0.5042735042735043,0.08332724572040812
146,0.17796610169491525,0.5042372881355932,0.08332734846308533
147,0.5416666666666666,0.5041666666666667,0.0833275462962963
148,0.5416666666666666,0.5041666666666667,0.0833275462962963
149,0.3305785123966942,0.5041322314049587,0.08332764155453863
150,0.18032786885245902,0.5040983606557377,0.0833277344799785
151,0.7642276422764228,0.5040650406504065,0.08332782514817018
152,0.8306451612903226,0.5040322580645161,0.08332791363163371
153,0.696,0.504,0.083328
154,0.5396825396825397,0.503968253968254,0.08332808432014781
